index,file,full_path,type,name,start_line,end_line,line_count,class_list,class_count,namespace,class_properties,functions,function_count,class,full_name,security,static,override,return_type,inputs
0,Program.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Chapter01\Program.cs,namespace,Demo.LearnByDoing.Chapter01,6.0,53.0,47.0,['public class Program'],1.0,,,,,,,,,,,
1,Program.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Chapter01\Program.cs,class,Program,8.0,53.0,45.0,,,Demo.LearnByDoing.Chapter01,"['public', 'class', 'Program']","['public static void Main(string[] args)', 'private static void Answer1_2()', 'private static void Answer1_1()', 'private static bool HasUniqueCharacters(string text)']",4.0,,,,,,,
2,Program.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Chapter01\Program.cs,function,Main,,,,,,Demo.LearnByDoing.Chapter01,,,,Program,public static void Main(string[] args),public,True,False,void,['string[] args']
3,Program.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Chapter01\Program.cs,function,Answer1_2,,,,,,Demo.LearnByDoing.Chapter01,,,,Program,private static void Answer1_2(),private,True,False,void,['']
4,Program.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Chapter01\Program.cs,function,Answer1_1,,,,,,Demo.LearnByDoing.Chapter01,,,,Program,private static void Answer1_1(),private,True,False,void,['']
5,Program.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Chapter01\Program.cs,function,HasUniqueCharacters,,,,,,Demo.LearnByDoing.Chapter01,,,,Program,private static bool HasUniqueCharacters(string text),private,True,False,bool,['string text']
6,Class1.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Chapter01.Test\Class1.cs,namespace,Demo.LearnByDoing.Chapter01.Test,6.0,12.0,6.0,['public class Class1'],1.0,,,,,,,,,,,
7,Class1.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Chapter01.Test\Class1.cs,class,Class1,8.0,12.0,4.0,,,Demo.LearnByDoing.Chapter01.Test,"['public', 'class', 'Class1']",[],0.0,,,,,,,
8,DuplicateEncoderProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.CodeWars\DuplicateEncoderProgram.cs,namespace,Demo.LearnByDoing.CodeWars,6.0,23.0,17.0,"['public class DuplicateEncoderProgram', 'public class Kata']",2.0,,,,,,,,,,,
9,DuplicateEncoderProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.CodeWars\DuplicateEncoderProgram.cs,class,DuplicateEncoderProgram,8.0,23.0,15.0,,,Demo.LearnByDoing.CodeWars,"['public', 'class', 'DuplicateEncoderProgram']","['public static void Main(string[] args)', 'public static string DuplicateEncode(string word)']",2.0,,,,,,,
